,car_id,amount,name,region,use_type,mileage
194,/glfIqFyju2DLVCXetJ5mT9fc,"₦ 5,200,000",Mercedes-Benz GL-Class 2007 Silver,"Lagos State, Alimosho",159228 km,159228 km
195,/pfJuJENei58C06xMPrNfIFrw,"₦ 1,260,000",Kia Rio 2009 Blue,"Lagos State, Victoria Island",97117 km,97117 km
196,/xF8f2NuLH49oYJD8rj4gqvMA,"₦ 2,080,000",Volkswagen Passat 2007 Black,"Oyo State, Ibadan",134588 km,134588 km
197,/yrAgw6vy6gMa5bOTUV42MczZ,"₦ 1,155,000",Nissan Almera 2000 Green,"Oyo State, Ibadan",275045 km,275045 km
198,/cjJgPXhw3Q0aJ1iBNjIDqXxG,"₦ 3,120,000",Toyota Camry 2006 Silver,"Abuja (FCT), Kubwa",194295 km,194295 km
199,/l8hAExlQTZzvswPb8L25pjuM,"₦ 2,100,000",Mercedes-Benz R-Class 2006 Silver,"Oyo State, Ibadan",...,...
200,/imT8hmyyzGNzLUIPOcyWT79N,"₦ 4,239,375",Toyota Camry 2009 Gray,"Lagos State, Mushin",341645 km,341645 km
201,/oONdoozdphWr37Lt7Vm3Oz4D,"₦ 4,680,000",Mercedes-Benz M Class 2006 Red,"Lagos State, Alimosho",...,...
202,/cKqwlJGLNlXElOwaKWOyZ1R4,"₦ 14,070,000",Toyota Land Cruiser Prado 2.7 VVT-i 2014 Black,"Lagos State, Ikeja",141321 km,141321 km
203,/yDjTaH2LxpWTGSJoZisMWw5v,"₦ 19,740,000",Mercedes-Benz G-Class 2013 White,"Lagos State, Ikeja",259362 km,259362 km
204,/P7XwI9ctP5IGEtV85ECK4io,"₦ 6,800,000",Mercedes-Benz GLK-Class 2010 Silver,"Lagos State, Alimosho",362790 km,362790 km
205,/iJK73u9yh6qIANL49UjGyqS,"₦ 2,467,500",Toyota Matrix 2006 Red,"Abuja (FCT), Jabi",138581 km,138581 km
